Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
2009,Os Normais 2,Ficção,Brasileira,Imagem,433
2009,Ouro Negro,Ficção,Brasileira,Pandora Filmes,4
2009,Pacto Secreto,Ficção,Estrangeira,Paris,80
2009,Pagando Bem Que Mal Tem?,Ficção,Estrangeira,Imagem,139
2009,Palavra (En)Cantada,Documentário,Brasileira,Filmes Do Estação,9
2009,Paris,Ficção,Estrangeira,Pandora Filmes,6
2009,Partir,Ficção,Estrangeira,Imovision,9
2009,Passageiros,Ficção,Estrangeira,Imagem,74
2009,Patativa Do Assaré - Ave Poesia,Documentário,Brasileira,Sereia Filmes,4
2009,Paulo Gracindo - O Bem Amado,Documentário,Brasileira,Filmes Do Estação,4
2009,Pequenos Invasores,Ficção,Estrangeira,Fox,82
2009,Perdido Pra Cachorro,Ficção,Estrangeira,Sony,64
2009,Planeta 51,Animação,Estrangeira,Imagem,170
2009,"Polícia, Adjetivo",Ficção,Estrangeira,Imovision,5
2009,Por Amor,Ficção,Estrangeira,Imagem,40
2009,Praça Saens Peña,Ficção,Brasileira,Moviemobz/Riofilme,2
2009,Presságio,Ficção,Estrangeira,Paris,208
2009,Quanto Dura O Amor?,Ficção,Brasileira,Pandora Filmes,7
2009,Quarentena,Ficção,Estrangeira,Sony,102
2009,Quem Quer Ser Um Milionário?,Ficção,Estrangeira,Europa,191
2009,Recém Chegada,Ficção,Estrangeira,Imagem,49
2009,Rindo A Toa,Ficção,Estrangeira,Califórnia,2
2009,Rio Congelado,Ficção,Estrangeira,Sony,6
2009,Romeu: O Vira-Lata Atrapalhado,Animação,Estrangeira,Paris,49
2009,Rumba,Ficção,Estrangeira,Filmes Do Estação,3
2009,Salve Geral,Ficção,Brasileira,Sony/Downtown,186
2009,"Se Beber, Não Case!",Ficção,Estrangeira,Warner,204
2009,Se Eu Fosse Você 2,Ficção,Brasileira,Fox,315
2009,Se Nada Mais Der Certo,Ficção,Brasileira,Imovision,14
2009,Segredos Íntimos,Ficção,Estrangeira,Paris,9
2009,Sem Fio,Ficção,Brasileira,Panda Filmes,1
2009,Sempre Ao Seu Lado,Ficção,Estrangeira,Imagem,181
2009,Senhores Do Vento,Documentário,Brasileira,Youle Filmes,1
2009,Sex Drive: Rumo Ao Sexo,Ficção,Estrangeira,Paris,60
2009,Sexta-Feira 13,Ficção,Estrangeira,Paramount,162
2009,Sim Senhor,Ficção,Estrangeira,Warner,152
2009,Simonal - Ninguém Sabe O Duro Que Dei,Documentário,Brasileira,Moviemobz/Riofilme,24
2009,Simplesmente Feliz,Ficção,Estrangeira,Imagem,20
2009,"Sinédoque, Nova Iorque",Ficção,Estrangeira,Imagem,6
2009,Som E Fúria,Ficção,Brasileira,O2 Cinema,1
2009,Star Trek,Ficção,Estrangeira,Paramount,297
2009,Stella,Ficção,Estrangeira,Imovision,6
2009,Substitutos,Ficção,Estrangeira,Sony,119
2009,Surpresas Do Amor,Ficção,Estrangeira,Playarte,153
2009,Tá Chovendo Hamburger,Animação,Estrangeira,Sony,182
2009,Te Amarei Para Sempre,Ficção,Estrangeira,Playarte,138
2009,Tempos De Paz,Ficção,Brasileira,Downtown,51
2009,Terra,Documentário,Estrangeira,Sony,30
2009,Terra Sonâmbula,Ficção,Estrangeira,Panda Filmes,1
2009,Território Restrito,Ficção,Estrangeira,Imagem,40
2009,Terror Na Antártida,Ficção,Estrangeira,Warner,49
2009,The Spirit - O Filme,Ficção,Estrangeira,Sony,77
2009,Tinha Que Ser Você,Ficção,Estrangeira,Imagem,30
2009,Titãs - A Vida Até Parece Uma Festa,Documentário,Brasileira,Moviemobz,12
2009,Tô De Férias,Animação,Estrangeira,Paris,91
2009,Tokyo,Ficção,Estrangeira,Califórnia,1
2009,Tony Manero,Ficção,Estrangeira,Imovision,ND
2009,Topografia De Um Desnudo,Ficção,Brasileira,T.A.O. Produções Artisticas,1
2009,Trama Internacional,Ficção,Estrangeira,Sony,65
2009,Transformers: A Vingança Dos Derrotados,Ficção,Estrangeira,Paramount,554
2009,Um Ato De Liberdade,Ficção,Estrangeira,Flashstar Filmes,42
2009,Um Cara Muito Louco...Apaixonado,Ficção,Estrangeira,Califórnia,33
2009,Um Faz De Conta Que Acontece,Ficção,Estrangeira,Sony,218
2009,Um Homem De Moral,Documentário,Brasileira,Superfilmes,10
2009,Um Hotel Bom Pra Cachorro,Ficção,Estrangeira,Paramount,133
2009,Um Lobisomem Na Amazônia,Ficção,Brasileira,Polifilmes/Topázio Filmes,8
2009,Um Namorado Para Minha Esposa,Ficção,Estrangeira,Paris,12
